0 	Bark 	144 	144 	2.875 	809 	12.98 KB
1 	Bite 	144 	144 	0.833 	782 	12.18 KB
2 	Death 	144 	144 	1.167 	1,174 	19.18 KB
3 	Fall 	144 	144 	0.542 	615 	9.04 KB
4 	Fetch 	144 	144 	1 	819 	12.95 KB
5 	Howl 	144 	144 	2.333 	1,014 	17.29 KB
6 	Idle 	144 	144 	1.333 	897 	14.02 KB
7 	Idle Alert 	144 	144 	1.625 	1,228 	21.83 KB
8 	Jump 	144 	144 	2.167 	1,294 	21.78 KB
9 	Run 	144 	144 	0.5 	583 	8.24 KB
10 	Sit 	144 	144 	1.333 	726 	11.43 KB
11 	Sneak 	144 	144 	1.333 	825 	12.79 KB
12 	Walk 	144 	144 	1 	766 	12.31 KB

0 	Bark 	144 	144 	2.875 	2,260 	35.19 KB
1 	Bite 	144 	144 	0.833 	858 	12.66 KB
2 	Death 	144 	144 	1.167 	1,476 	22.79 KB
3 	Fall 	144 	144 	0.542 	648 	9.4 KB
4 	Fetch 	144 	144 	1 	909 	13.5 KB
5 	Howl 	144 	144 	2.333 	1,443 	22.1 KB
6 	Idle 	144 	144 	1.333 	1,094 	16.34 KB
7 	Idle Alert 	144 	144 	1.625 	1,466 	22.63 KB
8 	Jump 	144 	144 	2.167 	1,920 	29.56 KB
9 	Run 	144 	144 	0.5 	585 	8.22 KB
10 	Sit 	144 	144 	1.333 	753 	11.06 KB
11 	Sneak 	144 	144 	1.333 	908 	13.42 KB
12 	Walk 	144 	144 	1 	932 	14.14 KB
